category,feature,n_channels,mean_prev,sd_prev,min_prev,q25_prev,median_prev,q75_prev,max_prev
764,Identity Fusion,4,8.626047714916198e-4,0.001289924875256765,0,0,3.606871258292433e-4,0.001223291897320863,0.0027290448343079924
terrorgram,Identity Fusion,29,0.018130905524408516,0.02384244789947588,0,0,0.01091617933723197,0.023255813953488372,0.09210526315789473
white-supremacist,Identity Fusion,10,0.0405618999198907,0.06898520626589513,0,0.003787754861030619,0.006421062371504584,0.051215277777777776,0.21739130434782608
764,Violence Condoning,4,0.02858781602653185,0.015542869478213501,0.013774104683195593,0.015936912570203084,0.0284902145888501,0.04114111804517887,0.043596730245231606
terrorgram,Violence Condoning,29,0.1699195546718608,0.15663996815822787,0,0.064157498552403,0.14122533748701974,0.21818181818181817,0.6666666666666666
white-supremacist,Violence Condoning,10,0.12135229705663417,0.13945989864054548,0.012396694214876033,0.04648495591671978,0.06294014084507042,0.14557881070581796,0.4782608695652174
764,Existential Threat,4,9.862009580998013e-4,0.0016909287744217014,0,0,2.2074757598940413e-4,0.0012069485340892054,0.0035033086804203972
terrorgram,Existential Threat,29,0.063684417319342,0.12744147744026374,0,0.0026972353337828725,0.01799775028121485,0.07878787878787878,0.6666666666666666
white-supremacist,Existential Threat,10,0.039488421253664044,0.04598083686010975,0,0.004544616956117502,0.0262372848200313,0.0554966455976935,0.13043478260869565
764,Outgroup Othering,4,0.1470991764775666,0.05378326700229628,0.08153238008903387,0.12162276444374606,0.14813827423798098,0.17361468627180152,0.21058777734527054
terrorgram,Outgroup Othering,29,0.2618060628975737,0.13622040635394703,0.04917519781840941,0.16666666666666666,0.2235294117647059,0.2977638289525304,0.6666666666666666
white-supremacist,Outgroup Othering,10,0.25195643993724937,0.08963375403969719,0.09504132231404959,0.18866297652254765,0.2741228070175439,0.3134741191961771,0.36619718309859156
