theme,category,std_residual
Antisemitism,764,-172.31254287350077
Appearance,764,-70.99698427894528
CSAM/Exploitation,764,591.9408938085355
Gaming,764,49.43653138807962
Non-English,764,-27.45361074872419
OPSEC/OSINT,764,18.54718196090997
Other,764,-246.87890100682745
Racism/White Nationalism,764,-132.47648213484817
Accelerationism,764,-42.790108771716326
Firearms/Weapons,764,-135.11815395447397
Fitness/Combat Sports,764,-72.95414062992324
Occult/Pagan,764,-94.94819712304174
Propaganda,764,-69.67721253819197
Survivalism/Outdoors,764,-53.228392505849484
Antisemitism,terrorgram,55.6577015872013
Appearance,terrorgram,-33.784505443341075
CSAM/Exploitation,terrorgram,-199.92667414865255
Gaming,terrorgram,-3.1313590476221056
Non-English,terrorgram,78.71718260517281
OPSEC/OSINT,terrorgram,-6.264268008950907
Other,terrorgram,84.7615281710101
Racism/White Nationalism,terrorgram,7.460210059743886
Accelerationism,terrorgram,115.75892162062298
Firearms/Weapons,terrorgram,-6.194310738144964
Fitness/Combat Sports,terrorgram,44.54483868154712
Occult/Pagan,terrorgram,11.617817650253324
Propaganda,terrorgram,206.2995928060989
Survivalism/Outdoors,terrorgram,-24.431587105437547
Antisemitism,white-supremacist,133.26336937736036
Appearance,white-supremacist,93.83970518465759
CSAM/Exploitation,white-supremacist,-451.80568950265683
Gaming,white-supremacist,-47.04486585504515
Non-English,white-supremacist,-26.71445163439244
OPSEC/OSINT,white-supremacist,-14.156349767060707
Other,white-supremacist,187.48674939960193
Racism/White Nationalism,white-supremacist,126.70651847125963
Accelerationism,white-supremacist,-36.879523067876015
Firearms/Weapons,white-supremacist,138.70807060899597
Fitness/Combat Sports,white-supremacist,42.019943540800575
Occult/Pagan,white-supremacist,86.50821459065622
Propaganda,white-supremacist,-72.27366059953796
Survivalism/Outdoors,white-supremacist,69.73808202944025
