category,channel,n_messages,prev_identityfusion_bin,prev_violentlang_bin,prev_threat_bin,prev_outgroup_othering_bin
764,Leak_Society,296766,7.213742516584866e-4,0.016657848532538915,4.4149515197880826e-4,0.08153238008903387
764,Noctulian_Central_333,2569,0.0027290448343079924,0.043596730245231606,0.0035033086804203972,0.21058777734527054
764,764_announcements,363,0,0.013774104683195593,0,0.1349862258953168
764,HARM_NATION,124,0,0.04032258064516129,0,0.16129032258064516
terrorgram,Europa_Activism_Discussion,35784,0.015046425774695156,0.06918819188191883,0.05093938716170879,0.29641639179292223
terrorgram,Cole_Wolfsson_Chat,24205,0.004256374230340097,0.026360368549353384,0.00454489112919886,0.15259700012396182
terrorgram,ECODEFENSE_CHAT,22369,0.001922904928002862,0.0225789144236788,0.0011178680021463065,0.04917519781840941
terrorgram,INNER_BALLUS_SACTUMIUS_III,17272,0.006891359740560574,0.064157498552403,0.016038445949858145,0.16159101435849932
terrorgram,PAWG_Chat,3558,0.011251758087201125,0.0905257239246556,0.01799775028121485,0.25660483417650365
terrorgram,THE_FUCKING_HATECHAT,2566,0.01091617933723197,0.02884990253411306,0.010522213561964146,0.1426344505066251
terrorgram,NRN_Chat,2549,0.012951334379905808,0.07728520988622989,0.030624263839811542,0.2977638289525304
terrorgram,PNWG_fan_cult_Chat,1483,0.004048582995951417,0.016183412002697236,0.0026972353337828725,0.10182063385030343
terrorgram,𝖀𝖓𝖈𝖑𝖊_𝕿𝖊𝖉𝖘_𝕮𝖆𝖇𝖎𝖓,993,0.0030211480362537764,0.0433031218529708,0.00906344410876133,0.2175226586102719
terrorgram,𝖀𝖓𝖈𝖑𝖊_𝕿𝖊𝖉𝖘_𝕮𝖆𝖇𝖎𝖓_Rest_in_Power_Ted,963,0.01142263759086189,0.14122533748701974,0.030114226375908618,0.2616822429906542
terrorgram,Bowl_Tards,633,0.007898894154818325,0.08688783570300158,0.09320695102685624,0.5118483412322274
terrorgram,JÉRÉMYS_BUNKER,220,0.03636363636363636,0.10909090909090909,0.08636363636363636,0.2
terrorgram,Nancy_Pelosi_Under_The_Sea,215,0.023255813953488372,0.16744186046511628,0.09767441860465116,0.2186046511627907
terrorgram,BowlTurdsCoin_Investing_OFFICIAL,165,0.024242424242424242,0.21818181818181817,0.07878787878787878,0.23636363636363636
terrorgram,Sinister_Nancy_Reborn,124,0.016129032258064516,0.16129032258064516,0.06451612903225806,0.1693548387096774
terrorgram,Primal_Aryan_Warlord_Gang,114,0.05263157894736842,0.35964912280701755,0.10526315789473684,0.41228070175438597
terrorgram,Z_Cell_Network,85,0,0.1411764705882353,0.011764705882352941,0.2235294117647059
terrorgram,Aryan_Compartmented_Elements_ACE,76,0.09210526315789473,0.3684210526315789,0.2236842105263158,0.3684210526315789
terrorgram,PAWGASA_Operator_chat,70,0,0.04285714285714286,0.014285714285714285,0.21428571428571427
terrorgram,Teufelsreich_GC,57,0,0,0,0.15789473684210525
terrorgram,Z_Cell,52,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.2692307692307692
terrorgram,Glock_and_ball_torture,44,0.022727272727272728,0.22727272727272727,0.045454545454545456,0.25
terrorgram,BlackFeetcom,34,0.058823529411764705,0.14705882352941177,0.14705882352941177,0.4117647058823529
terrorgram,RAHOWA_Warlords,14,0.07142857142857142,0.35714285714285715,0,0.35714285714285715
terrorgram,NYTHRA_ATAZOTH_ARANYAKA_321,13,0,0.15384615384615385,0,0.15384615384615385
terrorgram,TeufelsReich,6,0,0.16666666666666666,0,0.16666666666666666
terrorgram,Teufelsreich,6,0,0.16666666666666666,0,0.16666666666666666
terrorgram,Total_Acceleration,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
terrorgram,NATIONAL_ANARCHIST_ECOPOSTING_X,2,0,0.5,0,0.5
white-supremacist,Wehrwolf_Dynamics_Chat,283476,0.0036729293463879332,0.04083994242330163,0.00422667391104933,0.15428605699690248
white-supremacist,Whatchadoinjews_comments,36084,0.008538478598358839,0.07527298930214511,0.034486582390774005,0.31702652512541923
white-supremacist,ᛉ_Race_First_ᛉ,8368,0.0043036461446503286,0.04230401529636711,0.005498446091322017,0.18326359832635983
white-supremacist,RCNC_Public_Chat,288,0.017361111111111112,0.059027777777777776,0.024305555555555556,0.2048611111111111
white-supremacist,THE_LASERWAFFEN_RECRUIT_DEPOT,242,0.004132231404958678,0.012396694214876033,0,0.09504132231404959
white-supremacist,Shitposting_fam,142,0,0.06338028169014084,0,0.3028169014084507
white-supremacist,Kill_all_Jews,71,0,0.16901408450704225,0.028169014084507043,0.36619718309859156
white-supremacist,North_Bama_Brigade_chat,57,0.08771929824561403,0.21052631578947367,0.10526315789473684,0.2982456140350877
white-supremacist,UTANGARD_AUFSTAND,23,0.21739130434782608,0.4782608695652174,0.13043478260869565,0.34782608695652173
white-supremacist,𝟑𝟏𝟗_chat,16,0.0625,0.0625,0.0625,0.25
